version,axis,char,family,speed,gamma,lambda,mu,sigma,converged,n_trials,n_rows,n_participants,note
incl_clamp0,actual,か,wipe,pooled,0.01389,0.96195,38.76139,8.11211,True,134,134,50,
incl_clamp0,actual,か,wipe,300,0.01389,0.95974,47.4512,10.85855,True,71,71,29,
incl_clamp0,actual,か,wipe,500,0.01389,1.0,35.25337,6.47569,True,63,63,21,
incl_clamp0,actual,が,fade,pooled,0.01389,0.96066,1.85699,0.21141,True,138,138,52,
incl_clamp0,actual,が,fade,300,0.01389,1.0,1.86941,0.23062,True,78,78,34,
incl_clamp0,actual,が,fade,500,0.01389,0.89965,1.81401,0.18129,True,60,60,20,
incl_clamp0,actual,が,reveal,pooled,0.01389,0.95173,3.43482,1.00734,True,133,133,50,
incl_clamp0,actual,が,reveal,300,0.01389,0.92853,4.3958,0.89277,True,73,73,32,
incl_clamp0,actual,が,reveal,500,0.01389,0.95101,1.80532,0.33824,True,60,60,20,
incl_clamp0,actual,が,blur,pooled,0.01389,1.0,56.34899,14.15533,True,129,129,45,
incl_clamp0,actual,が,blur,300,0.01389,1.0,51.40001,13.33893,True,72,72,27,
incl_clamp0,actual,が,blur,500,0.01389,0.98157,61.47911,14.21758,True,57,57,19,
incl_clamp0,actual,が,wipe,pooled,0.01389,0.96296,95.68652,0.0995,True,137,137,50,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性)
incl_clamp0,actual,が,wipe,300,0.01389,0.95469,99.0961,0.10331,True,74,74,31,
incl_clamp0,actual,が,wipe,500,0.01389,1.0,49.35808,0.0995,True,63,63,21,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性)
incl_clamp0,actual,ぱ,fade,pooled,0.01389,0.95101,2.6837,0.73103,True,138,138,50,
incl_clamp0,actual,ぱ,fade,300,0.01389,0.95445,3.11806,0.73768,True,75,75,30,
incl_clamp0,actual,ぱ,fade,500,0.01389,0.95133,2.33569,0.72724,True,63,63,21,
incl_clamp0,actual,ぱ,reveal,pooled,0.01389,0.91819,3.59999,1.00329,True,140,140,53,
incl_clamp0,actual,ぱ,reveal,300,0.01389,0.9621,6.87014,2.53695,True,77,77,36,
incl_clamp0,actual,ぱ,reveal,500,0.01389,0.95215,2.465,0.35521,True,63,63,21,
incl_clamp0,actual,ぱ,blur,pooled,0.01389,1.0,67.46904,14.1375,True,134,134,48,
incl_clamp0,actual,ぱ,blur,300,0.01389,1.0,68.22832,12.29558,True,74,74,33,
incl_clamp0,actual,ぱ,blur,500,0.01389,1.0,67.35226,17.18451,True,60,60,19,
incl_clamp0,actual,ぱ,wipe,pooled,0.01389,0.9697,75.14243,0.0995,True,139,139,52,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性)
incl_clamp0,actual,ぱ,wipe,300,0.01389,0.96429,81.70905,1.1528,True,76,76,34,
incl_clamp0,actual,ぱ,wipe,500,0.01389,1.0,49.35808,0.0995,True,63,63,21,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性)
incl_clamp0,actual,し,fade,pooled,0.01389,1.0,1.45557,0.49591,True,130,130,48,
incl_clamp0,actual,し,fade,300,0.01389,0.98007,1.22045,0.22636,True,72,72,28,
incl_clamp0,actual,し,fade,500,0.01389,1.0,1.52415,0.53319,True,58,58,20,
incl_clamp0,actual,し,reveal,pooled,0.01389,0.98109,1.25324,0.55755,True,136,136,50,
incl_clamp0,actual,し,reveal,300,0.01389,1.0,1.02528,0.60099,True,73,73,29,
incl_clamp0,actual,し,reveal,500,0.01389,0.95112,1.46415,0.48242,True,63,63,21,
incl_clamp0,actual,し,blur,pooled,0.01389,0.9689,33.74525,5.7206,True,134,134,50,
incl_clamp0,actual,し,blur,300,0.01389,1.0,36.16345,6.40611,True,74,74,32,
incl_clamp0,actual,し,blur,500,0.01389,0.92,26.15416,0.11395,True,60,60,20,
incl_clamp0,actual,し,wipe,pooled,0.01389,1.0,17.19847,7.84251,True,133,133,46,
incl_clamp0,actual,し,wipe,300,0.01389,1.0,20.28611,7.49727,True,73,73,31,
incl_clamp0,actual,し,wipe,500,0.01389,1.0,14.46232,7.96002,True,60,60,20,
incl_clamp0,actual,つ,fade,pooled,0.01389,1.0,1.58399,1.52751,True,134,134,48,
incl_clamp0,actual,つ,fade,300,0.01389,1.0,1.47261,1.8385,True,74,74,31,
incl_clamp0,actual,つ,fade,500,0.01389,1.0,1.63643,1.24089,True,60,60,19,
incl_clamp0,actual,つ,reveal,pooled,0.01389,1.0,1.61739,0.79209,True,130,130,46,
incl_clamp0,actual,つ,reveal,300,0.01389,1.0,2.23161,1.11345,True,67,67,26,
incl_clamp0,actual,つ,reveal,500,0.01389,1.0,1.09401,0.39335,True,63,63,21,
incl_clamp0,actual,つ,blur,pooled,0.01389,1.0,31.40684,10.35569,True,142,142,53,
incl_clamp0,actual,つ,blur,300,0.01389,1.0,35.11062,10.62491,True,79,79,34,
incl_clamp0,actual,つ,blur,500,0.01389,1.0,28.50109,8.92323,True,63,63,21,
incl_clamp0,actual,つ,wipe,pooled,0.01389,0.96836,31.0745,9.94161,True,139,139,50,
incl_clamp0,actual,つ,wipe,300,0.01389,0.96057,23.77741,5.35286,True,76,76,32,
incl_clamp0,actual,つ,wipe,500,0.01389,1.0,38.77649,14.89793,True,63,63,21,
incl_clamp0,actual,ま,fade,pooled,0.01389,0.944,1.423,0.40724,True,136,136,54,
incl_clamp0,actual,ま,fade,300,0.01389,0.97626,1.54261,0.46441,True,76,76,34,
incl_clamp0,actual,ま,fade,500,0.01389,0.89448,1.27432,0.28418,True,60,60,20,
