modality,char,family,type,level,main_accuracy,main_n,compare_group,decoy_level,decoy_accuracy,decoy_n,level_diff,diff
visual,か,blur,seion,64.0,0.9375,16,same_type_decoy,64.0,0.82906,117,0.0,0.10844
visual,か,blur,seion,72.0,1.0,16,all_decoy,72.0,0.89362,188,0.0,0.10638
visual,か,blur,seion,72.0,1.0,16,same_type_decoy,72.0,0.95575,113,0.0,0.04425
visual,か,blur,seion,84.0,1.0,16,all_decoy,84.0,0.94565,184,0.0,0.05435
visual,か,blur,seion,84.0,1.0,16,same_type_decoy,84.0,0.97561,123,0.0,0.02439
visual,か,blur,seion,100.0,1.0,16,all_decoy,100.0,0.98352,182,0.0,0.01648
visual,か,blur,seion,100.0,1.0,16,same_type_decoy,100.0,0.99029,103,0.0,0.00971
visual,か,fade,seion,0.4,0.07143,14,all_decoy,0.4,0.04372,183,0.0,0.02771
visual,か,fade,seion,0.4,0.07143,14,same_type_decoy,0.4,0.05714,105,0.0,0.01429
visual,か,fade,seion,0.8,0.25,16,all_decoy,0.8,0.11538,182,0.0,0.13462
visual,か,fade,seion,0.8,0.25,16,same_type_decoy,0.8,0.15517,116,0.0,0.09483
visual,か,fade,seion,1.4,0.53333,15,all_decoy,1.4,0.46703,182,0.0,0.0663
visual,か,fade,seion,1.4,0.53333,15,same_type_decoy,1.4,0.50893,112,0.0,0.0244
visual,か,fade,seion,2.2,0.73333,15,all_decoy,2.2,0.65775,187,0.0,0.07558
visual,か,fade,seion,2.2,0.73333,15,same_type_decoy,2.2,0.70175,114,0.0,0.03158
visual,か,fade,seion,3.5,0.9375,16,all_decoy,3.5,0.87432,183,0.0,0.06318
visual,か,fade,seion,3.5,0.9375,16,same_type_decoy,3.5,0.89565,115,0.0,0.04185
visual,か,fade,seion,6.0,0.78571,14,all_decoy,6.0,0.92857,182,0.0,-0.14286
visual,か,fade,seion,6.0,0.78571,14,same_type_decoy,6.0,0.92857,112,0.0,-0.14286
visual,か,fade,seion,12.0,1.0,15,all_decoy,12.0,0.95028,181,0.0,0.04972
visual,か,fade,seion,12.0,1.0,15,same_type_decoy,12.0,0.96522,115,0.0,0.03478
visual,か,fade,seion,100.0,1.0,16,all_decoy,100.0,0.98942,189,0.0,0.01058
visual,か,fade,seion,100.0,1.0,16,same_type_decoy,100.0,1.0,119,0.0,0.0
visual,か,reveal,seion,0.1,0.0,15,all_decoy,0.1,0.03191,188,0.0,-0.03191
visual,か,reveal,seion,0.1,0.0,15,same_type_decoy,0.1,0.05825,103,0.0,-0.05825
visual,か,reveal,seion,0.3,0.0,16,all_decoy,0.3,0.07104,183,0.0,-0.07104
visual,か,reveal,seion,0.3,0.0,16,same_type_decoy,0.3,0.09565,115,0.0,-0.09565
visual,か,reveal,seion,0.5,0.28571,14,all_decoy,0.5,0.08333,180,0.0,0.20238
visual,か,reveal,seion,0.5,0.28571,14,same_type_decoy,0.5,0.14583,96,0.0,0.13988
visual,か,reveal,seion,1.0,0.4,15,all_decoy,1.0,0.20765,183,0.0,0.19235
visual,か,reveal,seion,1.0,0.4,15,same_type_decoy,1.0,0.25243,103,0.0,0.14757
visual,か,reveal,seion,2.0,0.625,16,all_decoy,2.0,0.51596,188,0.0,0.10904
visual,か,reveal,seion,2.0,0.625,16,same_type_decoy,2.0,0.6087,115,0.0,0.0163
visual,か,reveal,seion,4.0,0.92857,14,all_decoy,4.0,0.75956,183,0.0,0.16901
visual,か,reveal,seion,4.0,0.92857,14,same_type_decoy,4.0,0.82524,103,0.0,0.10333
visual,か,reveal,seion,9.0,1.0,16,all_decoy,9.0,0.94536,183,0.0,0.05464
visual,か,reveal,seion,9.0,1.0,16,same_type_decoy,9.0,0.94444,108,0.0,0.05556
visual,か,reveal,seion,100.0,1.0,14,all_decoy,100.0,0.98889,180,0.0,0.01111
visual,か,reveal,seion,100.0,1.0,14,same_type_decoy,100.0,0.99029,103,0.0,0.00971
visual,か,wipe,seion,0.5,0.0,15,all_decoy,0.5,0.00543,184,0.0,-0.00543
visual,か,wipe,seion,0.5,0.0,15,same_type_decoy,0.5,0.00901,111,0.0,-0.00901
visual,か,wipe,seion,1.0,0.0,16,all_decoy,1.0,0.03315,181,0.0,-0.03315
visual,か,wipe,seion,1.0,0.0,16,same_type_decoy,1.0,0.04839,124,0.0,-0.04839
visual,か,wipe,seion,2.0,0.0,15,all_decoy,2.0,0.03226,186,0.0,-0.03226
visual,か,wipe,seion,2.0,0.0,15,same_type_decoy,2.0,0.04724,127,0.0,-0.04724
visual,か,wipe,seion,4.0,0.0,15,all_decoy,4.0,0.04839,186,0.0,-0.04839
visual,か,wipe,seion,4.0,0.0,15,same_type_decoy,4.0,0.07339,109,0.0,-0.07339
visual,か,wipe,seion,8.0,0.0625,16,all_decoy,8.0,0.1105,181,0.0,-0.048
visual,か,wipe,seion,8.0,0.0625,16,same_type_decoy,8.0,0.15748,127,0.0,-0.09498
visual,か,wipe,seion,14.0,0.13333,15,all_decoy,14.0,0.12088,182,0.0,0.01245
visual,か,wipe,seion,14.0,0.13333,15,same_type_decoy,14.0,0.17544,114,0.0,-0.04211
visual,か,wipe,seion,25.0,0.125,16,all_decoy,25.0,0.2381,189,0.0,-0.1131
visual,か,wipe,seion,25.0,0.125,16,same_type_decoy,25.0,0.375,120,0.0,-0.25
visual,か,wipe,seion,100.0,0.93333,15,all_decoy,100.0,0.9779,181,0.0,-0.04457
visual,か,wipe,seion,100.0,0.93333,15,same_type_decoy,100.0,0.97674,129,0.0,-0.04341
visual,が,blur,dakuon,26.0,0.42857,14,all_decoy,26.0,0.23204,181,0.0,0.19653
visual,が,blur,dakuon,26.0,0.42857,14,same_type_decoy,26.0,0.22222,54,0.0,0.20635
visual,が,blur,dakuon,38.0,0.06667,15,all_decoy,38.0,0.2766,188,0.0,-0.20993
visual,が,blur,dakuon,38.0,0.06667,15,same_type_decoy,38.0,0.24138,58,0.0,-0.17471
visual,が,blur,dakuon,48.0,0.1875,16,all_decoy,48.0,0.50273,183,0.0,-0.31523
visual,が,blur,dakuon,48.0,0.1875,16,same_type_decoy,48.0,0.40984,61,0.0,-0.22234
visual,が,blur,dakuon,56.0,0.5,14,all_decoy,56.0,0.62431,181,0.0,-0.12431
visual,が,blur,dakuon,56.0,0.5,14,same_type_decoy,56.0,0.47458,59,0.0,0.02542
visual,が,blur,dakuon,64.0,0.53333,15,all_decoy,64.0,0.76923,182,0.0,-0.2359
visual,が,blur,dakuon,64.0,0.53333,15,same_type_decoy,64.0,0.74074,54,0.0,-0.20741
visual,が,blur,dakuon,72.0,0.8125,16,all_decoy,72.0,0.89362,188,0.0,-0.08112
visual,が,blur,dakuon,72.0,0.8125,16,same_type_decoy,72.0,0.86885,61,0.0,-0.05635
visual,が,blur,dakuon,84.0,1.0,14,all_decoy,84.0,0.94565,184,0.0,0.05435
visual,が,blur,dakuon,84.0,1.0,14,same_type_decoy,84.0,0.88462,52,0.0,0.11538
visual,が,blur,dakuon,100.0,0.9375,16,all_decoy,100.0,0.98352,182,0.0,-0.04602
visual,が,blur,dakuon,100.0,0.9375,16,same_type_decoy,100.0,0.98551,69,0.0,-0.04801
visual,が,fade,dakuon,0.4,0.0,15,all_decoy,0.4,0.04372,183,0.0,-0.04372
visual,が,fade,dakuon,0.4,0.0,15,same_type_decoy,0.4,0.01587,63,0.0,-0.01587
visual,が,fade,dakuon,0.8,0.0,16,all_decoy,0.8,0.11538,182,0.0,-0.11538
visual,が,fade,dakuon,0.8,0.0,16,same_type_decoy,0.8,0.04167,48,0.0,-0.04167
visual,が,fade,dakuon,1.4,0.125,16,all_decoy,1.4,0.46703,182,0.0,-0.34203
visual,が,fade,dakuon,1.4,0.125,16,same_type_decoy,1.4,0.41667,60,0.0,-0.29167
visual,が,fade,dakuon,2.2,0.8,15,all_decoy,2.2,0.65775,187,0.0,0.14225
visual,が,fade,dakuon,2.2,0.8,15,same_type_decoy,2.2,0.56364,55,0.0,0.23636
visual,が,fade,dakuon,3.5,0.86667,15,all_decoy,3.5,0.87432,183,0.0,-0.00765
visual,が,fade,dakuon,3.5,0.86667,15,same_type_decoy,3.5,0.80769,52,0.0,0.05897
visual,が,fade,dakuon,6.0,0.9375,16,all_decoy,6.0,0.92857,182,0.0,0.00893
visual,が,fade,dakuon,6.0,0.9375,16,same_type_decoy,6.0,0.93333,60,0.0,0.00417
visual,が,fade,dakuon,12.0,1.0,15,all_decoy,12.0,0.95028,181,0.0,0.04972
visual,が,fade,dakuon,12.0,1.0,15,same_type_decoy,12.0,0.91489,47,0.0,0.08511
visual,が,fade,dakuon,100.0,1.0,16,all_decoy,100.0,0.98942,189,0.0,0.01058
visual,が,fade,dakuon,100.0,1.0,16,same_type_decoy,100.0,0.96429,56,0.0,0.03571
visual,が,reveal,dakuon,0.1,0.0,16,all_decoy,0.1,0.03191,188,0.0,-0.03191
visual,が,reveal,dakuon,0.1,0.0,16,same_type_decoy,0.1,0.0,74,0.0,0.0
visual,が,reveal,dakuon,0.3,0.0,14,all_decoy,0.3,0.07104,183,0.0,-0.07104
visual,が,reveal,dakuon,0.3,0.0,14,same_type_decoy,0.3,0.03571,56,0.0,-0.03571
