cut,modality,char,family,mu,lambda,n_trials,n_participants,converged
full_acc_healthy>=83%,visual,あ,reveal,1.18829,0.95743,126,161,True
full_acc_healthy>=83%,visual,あ,wipe,23.41955,1.0,120,161,True
full_acc_healthy>=83%,visual,か,blur,45.56228,1.0,126,161,True
full_acc_healthy>=83%,visual,か,fade,1.39455,0.93467,121,161,True
full_acc_healthy>=83%,visual,か,reveal,1.53038,1.0,117,161,True
full_acc_healthy>=83%,visual,か,wipe,38.95907,1.0,120,161,True
full_acc_healthy>=83%,visual,が,blur,56.99939,1.0,117,161,True
full_acc_healthy>=83%,visual,が,fade,1.85762,0.96762,121,161,True
full_acc_healthy>=83%,visual,が,reveal,3.33637,0.92597,120,161,True
full_acc_healthy>=83%,visual,が,wipe,55.34718,1.0,126,161,True
full_acc_healthy>=83%,visual,ぱ,blur,68.84793,1.0,120,161,True
full_acc_healthy>=83%,visual,ぱ,fade,2.71828,0.96168,126,161,True
full_acc_healthy>=83%,visual,ぱ,reveal,3.51127,0.89914,120,161,True
full_acc_healthy>=83%,visual,ぱ,wipe,45.74046,0.92308,117,161,True
full_acc_healthy>=83%,visual,し,blur,34.115,1.0,120,161,True
full_acc_healthy>=83%,visual,し,fade,1.356,0.98316,118,161,True
full_acc_healthy>=83%,visual,し,reveal,1.24485,0.97666,126,161,True
full_acc_healthy>=83%,visual,し,wipe,17.2001,1.0,120,161,True
full_acc_healthy>=83%,visual,つ,blur,31.37188,1.0,127,161,True
full_acc_healthy>=83%,visual,つ,fade,1.58399,1.0,121,161,True
full_acc_healthy>=83%,visual,つ,reveal,1.59274,1.0,117,161,True
full_acc_healthy>=83%,visual,つ,wipe,30.31764,0.93269,120,161,True
full_acc_healthy>=83%,visual,ま,blur,44.9096,1.0,118,161,True
full_acc_healthy>=83%,visual,ま,fade,1.43708,0.96278,120,161,True
full_acc_healthy>=83%,visual,ま,reveal,2.4149,1.0,120,161,True
full_acc_healthy>=83%,visual,ま,wipe,3.96602,0.95238,126,161,True
full_acc_healthy>=83%,visual,ら,blur,47.6378,1.0,120,161,True
full_acc_healthy>=83%,visual,ら,fade,1.68598,1.0,126,161,True
full_acc_healthy>=83%,visual,ら,reveal,1.0518,0.91799,120,161,True
full_acc_healthy>=83%,visual,ら,wipe,24.81209,0.875,118,161,True
full_acc>=100%,audio,あ,,-10.62928,1.0,3,1,True
full_acc>=100%,audio,か,,5.0,0.0,2,1,True
full_acc>=100%,audio,が,,-40.0,0.0,3,1,True
full_acc>=100%,audio,ぱ,,67.59579,1.0,3,1,True
full_acc>=100%,audio,し,,39.0024,1.0,2,1,True
full_acc>=100%,audio,つ,,-65.0,0.59127,3,1,True
full_acc>=100%,audio,ま,,43.08724,1.0,2,1,True
full_acc>=100%,audio,ら,,-28.60038,0.0,3,1,True
full_acc>=100%,visual,あ,blur,44.5456,1.0,120,155,True
full_acc>=100%,visual,あ,fade,1.29746,1.0,114,155,True
full_acc>=100%,visual,あ,reveal,1.10441,0.95133,114,155,True
full_acc>=100%,visual,あ,wipe,22.28779,1.0,117,155,True
full_acc>=100%,visual,か,blur,46.70781,1.0,114,155,True
full_acc>=100%,visual,か,fade,1.4268,0.93342,118,155,True
full_acc>=100%,visual,か,reveal,1.46215,1.0,114,155,True
full_acc>=100%,visual,か,wipe,38.95907,1.0,120,155,True
full_acc>=100%,visual,が,blur,58.30857,1.0,114,155,True
full_acc>=100%,visual,が,fade,1.85762,0.96762,121,155,True
full_acc>=100%,visual,が,reveal,3.17999,0.9239,117,155,True
full_acc>=100%,visual,が,wipe,56.41017,1.0,114,155,True
full_acc>=100%,visual,ぱ,blur,67.68721,1.0,117,155,True
full_acc>=100%,visual,ぱ,fade,2.58198,0.97478,114,155,True
full_acc>=100%,visual,ぱ,reveal,3.51127,0.89914,120,155,True
full_acc>=100%,visual,ぱ,wipe,33.06822,0.92308,114,155,True
full_acc>=100%,visual,し,blur,34.115,1.0,120,155,True
full_acc>=100%,visual,し,fade,1.31344,0.98038,115,155,True
full_acc>=100%,visual,し,reveal,1.16206,1.0,114,155,True
full_acc>=100%,visual,し,wipe,16.89704,1.0,117,155,True
full_acc>=100%,visual,つ,blur,33.57021,1.0,115,155,True
full_acc>=100%,visual,つ,fade,1.4986,1.0,118,155,True
full_acc>=100%,visual,つ,reveal,1.56856,1.0,114,155,True
full_acc>=100%,visual,つ,wipe,30.31764,0.93269,120,155,True
full_acc>=100%,visual,ま,blur,45.56822,1.0,115,155,True
full_acc>=100%,visual,ま,fade,1.43708,0.96278,120,155,True
full_acc>=100%,visual,ま,reveal,2.36876,1.0,117,155,True
full_acc>=100%,visual,ま,wipe,3.94616,0.96552,114,155,True
full_acc>=100%,visual,ら,blur,47.13807,1.0,117,155,True
full_acc>=100%,visual,ら,fade,1.64751,1.0,114,155,True
full_acc>=100%,visual,ら,reveal,1.0518,0.91799,120,155,True
full_acc>=100%,visual,ら,wipe,24.78287,0.875,115,155,True
full_acc_healthy>=100%,audio,あ,,19.66122,0.97546,229,87,True
full_acc_healthy>=100%,audio,か,,33.36427,1.0,229,87,True
full_acc_healthy>=100%,audio,が,,-10.86556,0.00877,228,87,True
full_acc_healthy>=100%,audio,ぱ,,15.09598,0.43293,229,87,True
full_acc_healthy>=100%,audio,し,,23.73077,0.28322,227,87,True
full_acc_healthy>=100%,audio,つ,,1.71985,0.6991,229,87,True
full_acc_healthy>=100%,audio,ま,,46.21603,0.91981,230,87,True
full_acc_healthy>=100%,audio,ら,,45.98175,0.42311,226,87,True
full_acc_healthy>=100%,visual,あ,blur,44.5456,1.0,120,161,True
full_acc_healthy>=100%,visual,あ,fade,1.30329,1.0,117,161,True
full_acc_healthy>=100%,visual,あ,reveal,1.18829,0.95743,126,161,True
full_acc_healthy>=100%,visual,あ,wipe,23.41955,1.0,120,161,True
